Latitude	Longitude	stopID	stopName
43.513	-80.2352	0609	Scottsdale Dr. at Ironwood Rd. 
43.5112	-80.2351	0610	Ironwood Rd. at Steffler Park
43.5089	-80.2329	0611	Ironwood Rd. at Cole Rd.
43.5071	-80.2299	0612	Ironwood Rd. at Woodborough Rd.
43.5057	-80.2272	0613	Ironwood Rd. at Hilldale Cres.
43.5075	-80.2256	0614	Ironwood Rd. at Brookhaven Crt.
43.5099	-80.228	0615	Ironwood Rd. at Kortright Rd. W.
43.5117	-80.2303	0616	Scottsdale Dr. at Steffler Dr
43.5138	-80.2369	0617	711 Scottsdale Dr.
43.5147	-80.2382	0618	692 Scottsdale Dr.
43.5161	-80.2386	0619	Stone Rd. W. at Scottsdale Dr.
43.5176	-80.2366	0620	372 Stone Rd. W.
43.5195	-80.2342	0621	Stone Rd. W. at Edinburgh Rd. S. 
43.5179	-80.2282	0622	Youngman Dr. at Harvard Rd.
43.5205	-80.2284	0623	Harvard Rd. at Princeton Pl.
43.5224	-80.2258	0624	Harvard Rd. at Rickson Ave.
43.5243	-80.2216	0625	35 Harvard Ave. at Plaza
43.5258	-80.2218	0626	Gordon St. at Monticello Cres.
43.529	-80.2238	0627	University Centre
43.5291	-80.2238	0700	University Centre
43.5252	-80.2211	0701	Gordon St. at Harvard Rd.
43.5221	-80.2132	0702	Gordon St. at Kortright Rd.
43.5201	-80.215	0703	Kortright Rd. W. at Yewholme Dr.
43.5171	-80.2166	0704	Kortright Rd. W. at Rickson Ave.
43.5136	-80.2213	0705	Kortright Rd. W. at Edinburgh Rd. S.
43.5107	-80.2271	0706	Kortright Rd. W. at Hanlon Creek Park
43.5093	-80.2307	0707	555 Kortright Rd. W.
43.507	-80.2338	0708	Kortright Rd. W. at Hanlon Rd.
43.5054	-80.2367	0709	Downey Rd. at Woodland Glen Dr.
43.5044	-80.2422	0710	Niska Rd. opposite Tanager Dr.
43.5034	-80.2461	0711	Ptarmigan Dr. at Niska Rd.
43.4997	-80.2442	0712	Ptarmigan Dr. at Pheasant Run Dr.
43.4998	-80.238	0713	Ptarmigan Dr. at Downey Rd.
43.5024	-80.239	0714	Downey Rd. at Hazelwood Dr.
43.5048	-80.238	0715	Downey Rd. at Niska Rd.
43.5069	-80.2335	0716	Kortright Rd. W. at Hanlon Rd.
43.509	-80.2307	0717	Kortright Rd. W. at Plaza
